modelo,MAE,RMSE,R2
Regressão linear,3985.5655515881044,5412.861330046476,0.9939160912532605
Árvore de decisão,3701.1806423611115,6446.334220605257,0.991371118082805
Floresta aleatória,3669.2384618596743,5172.422279821745,0.9944445807873752
Gradient boosting,3932.8560793671195,5686.288745925776,0.9932859169778471
SVR,3914.6461193470814,5711.403509348663,0.9932264775107558
Baseline: média global,59215.18346774194,69396.44708746966,-7.740357537366904e-06
Baseline: média da cultura,4077.381048387096,5427.702621532314,0.9938826831007503
